"","ParticipantID","Rating","WhatWasRating","StimName","TarGen_FM","TarRace","ParGen","ParRace","ParAge"
"2",1000368749,4,"fri","bm08.jpg",1,1,0,0,22
"5",1000368749,5,"fri","CFD-BM-036-003-N.jpg",1,1,0,0,22
"7",1000368749,3,"fri","CFD-BM-029-024-N.jpg",1,1,0,0,22
"8",1000368749,2,"fri","mb002.jpg",1,1,0,0,22
"10",1000368749,4,"fri","mb007.jpg",1,1,0,0,22
"16",1000368749,4,"fri","CFD-BM-200-046-N.jpg",1,1,0,0,22
"20",1000368749,3,"fri","CFD-BM-203-001-N.jpg",1,1,0,0,22
"21",1000368749,3,"fri","mb027.jpg",1,1,0,0,22
"25",1000368749,4,"fri","42M_NE_C.jpg",1,1,0,0,22
"28",1000368749,2,"fri","CFD-BM-230-232-N.jpg",1,1,0,0,22
"30",1000368749,2,"fri","CFD-BM-221-198-N.jpg",1,1,0,0,22
"31",1000368749,3,"fri","CFD-BM-034-031-N.jpg",1,1,0,0,22
"33",1000368749,4,"fri","mb040.jpg",1,1,0,0,22
"39",1000368749,1,"fri","CFD-BM-212-117-N.jpg",1,1,0,0,22
"42",1000368749,3,"fri","bm07.jpg",1,1,0,0,22
"45",1000368749,3,"fri","bm01.jpg",1,1,0,0,22
"47",1000368749,3,"fri","mb038.jpg",1,1,0,0,22
"48",1000368749,2,"fri","40M_NE_C.jpg",1,1,0,0,22
"54",1000368749,4,"fri","CFD-BM-216-088-N.jpg",1,1,0,0,22
"56",1000368749,4,"fri","bm02.jpg",1,1,0,0,22
"61",1000368749,4,"fri","mb009.jpg",1,1,0,0,22
"63",1000368749,2,"fri","CFD-BM-225-154-N.jpg",1,1,0,0,22
"72",1000368749,4,"fri","CFD-BM-012-018-N.jpg",1,1,0,0,22
"73",1000368749,3,"fri","043_03.jpg",1,1,0,0,22
"76",1000368749,4,"fri","bm14.jpg",1,1,0,0,22
"79",1000368749,4,"fri","CFD-BM-206-114-N.jpg",1,1,0,0,22
"81",1000368749,4,"fri","CFD-BM-020-001-N.jpg",1,1,0,0,22
"83",1000368749,4,"fri","mb008.jpg",1,1,0,0,22
"87",1000368749,4,"fri","mb048.jpg",1,1,0,0,22
"90",1000368749,5,"fri","mb046.jpg",1,1,0,0,22
"92",1000368749,3,"fri","CFD-BM-228-145-N.jpg",1,1,0,0,22
"96",1000368749,2,"fri","38M_NE_C.jpg",1,1,0,0,22
"98",1000368749,2,"fri","CFD-BM-219-141-N.jpg",1,1,0,0,22
"541",1027741427,4,"agg","CFD-BF-018-039-N.jpg",0,1,1,0,28
"544",1027741427,2,"agg","CFD-BF-006-017-N.jpg",0,1,1,0,28
"546",1027741427,6,"agg","CFD-BF-016-017-N.jpg",0,1,1,0,28
"547",1027741427,6,"agg","CFD-BF-034-002-N.jpg",0,1,1,0,28
"548",1027741427,5,"agg","CFD-BF-024-002-N.jpg",0,1,1,0,28
"549",1027741427,7,"agg","CFD-BF-015-004-N.jpg",0,1,1,0,28
"551",1027741427,5,"agg","CFD-BF-005-001-N.jpg",0,1,1,0,28
"553",1027741427,4,"agg","CFD-BF-045-003-N.jpg",0,1,1,0,28
"556",1027741427,5,"agg","CFD-BF-042-026-N.jpg",0,1,1,0,28
"563",1027741427,4,"agg","CFD-BF-009-002-N.jpg",0,1,1,0,28
"565",1027741427,6,"agg","CFD-BF-012-001-N.jpg",0,1,1,0,28
"567",1027741427,2,"agg","CFD-BF-037-022-N.jpg",0,1,1,0,28
"568",1027741427,2,"agg","CFD-BF-023-010-N.jpg",0,1,1,0,28
"569",1027741427,2,"agg","CFD-BF-002-001-N.jpg",0,1,1,0,28
"572",1027741427,2,"agg","CFD-BF-040-003-N.jpg",0,1,1,0,28
"573",1027741427,6,"agg","CFD-BF-035-001-N.jpg",0,1,1,0,28
"574",1027741427,3,"agg","CFD-BF-021-013-N.jpg",0,1,1,0,28
"577",1027741427,2,"agg","CFD-BF-019-001-N.jpg",0,1,1,0,28
"579",1027741427,3,"agg","CFD-BF-036-027-N.jpg",0,1,1,0,28
"581",1027741427,2,"agg","CFD-BF-013-001-N.jpg",0,1,1,0,28
"582",1027741427,3,"agg","CFD-BF-030-002-N.jpg",0,1,1,0,28
"583",1027741427,2,"agg","CFD-BF-027-002-N.jpg",0,1,1,0,28
"587",1027741427,3,"agg","CFD-BF-011-002-N.jpg",0,1,1,0,28
"589",1027741427,2,"agg","CFD-BF-001-025-N.jpg",0,1,1,0,28
"597",1027741427,6,"agg","CFD-BF-031-002-N.jpg",0,1,1,0,28
"598",1027741427,5,"agg","CFD-BF-251-211-N.jpg",0,1,1,0,28
"599",1027741427,4,"agg","CFD-BF-039-031-N.jpg",0,1,1,0,28
"600",1027741427,5,"agg","CFD-BF-029-031-N.jpg",0,1,1,0,28
"606",1027741427,4,"agg","CFD-BF-033-028-N.jpg",0,1,1,0,28
"608",1027741427,6,"agg","CFD-BF-246-170-N.jpg",0,1,1,0,28
"609",1027741427,5,"agg","CFD-BF-248-149-N.jpg",0,1,1,0,28
"610",1027741427,5,"agg","CFD-BF-044-034-N.jpg",0,1,1,0,28
"614",1027741427,6,"agg","CFD-BF-004-014-N.jpg",0,1,1,0,28
"616",1027741427,5,"agg","CFD-BF-008-001-N.jpg",0,1,1,0,28
"619",1027741427,5,"agg","CFD-BF-041-001-N.jpg",0,1,1,0,28
"620",1027741427,3,"agg","CFD-BF-003-003-N.jpg",0,1,1,0,28
"623",1027741427,3,"agg","CFD-BF-043-003-N.jpg",0,1,1,0,28
"624",1027741427,2,"agg","CFD-BF-028-001-N.jpg",0,1,1,0,28
"631",1027741427,3,"agg","CFD-BF-010-001-N.jpg",0,1,1,0,28
"632",1027741427,5,"agg","CFD-BF-032-038-N.jpg",0,1,1,0,28
"633",1027741427,4,"agg","CFD-BF-025-002-N.jpg",0,1,1,0,28
"635",1027741427,5,"agg","CFD-BF-020-002-N.jpg",0,1,1,0,28
"636",1027741427,5,"agg","CFD-BF-014-002-N.jpg",0,1,1,0,28
"637",1027741427,7,"agg","CFD-BF-038-037-N.jpg",0,1,1,0,28
"638",1027741427,5,"agg","CFD-BF-007-001-N.jpg",0,1,1,0,28
"696",1032519572,5,"fri","CFD-BM-016-036-N.jpg",1,1,0,0,25
"705",1032519572,3,"fri","mb031.jpg",1,1,0,0,25
"707",1032519572,2,"fri","mb034.jpg",1,1,0,0,25
"708",1032519572,1,"fri","bm09.jpg",1,1,0,0,25
"713",1032519572,6,"fri","mb015.jpg",1,1,0,0,25
"714",1032519572,2,"fri","CFD-BM-218-132-N.jpg",1,1,0,0,25
"720",1032519572,3,"fri","mb022.jpg",1,1,0,0,25
"721",1032519572,5,"fri","044_03.jpg",1,1,0,0,25
"725",1032519572,5,"fri","042_03.jpg",1,1,0,0,25
"730",1032519572,3,"fri","mb045.jpg",1,1,0,0,25
"733",1032519572,2,"fri","mb018.jpg",1,1,0,0,25
"735",1032519572,5,"fri","43M_NE_C.jpg",1,1,0,0,25
"736",1032519572,2,"fri","39M_NE_C.jpg",1,1,0,0,25
"740",1032519572,2,"fri","CFD-BM-024-001-N.jpg",1,1,0,0,25
"745",1032519572,5,"fri","mb033.jpg",1,1,0,0,25
"747",1032519572,6,"fri","082_03.jpg",1,1,0,0,25
"748",1032519572,5,"fri","mb001.jpg",1,1,0,0,25
"750",1032519572,2,"fri","096_03.jpg",1,1,0,0,25
"751",1032519572,2,"fri","CFD-BM-208-065-N.jpg",1,1,0,0,25
"752",1032519572,7,"fri","CFD-BM-234-172-N.jpg",1,1,0,0,25
"753",1032519572,6,"fri","CFD-BM-209-088-N.jpg",1,1,0,0,25
"756",1032519572,3,"fri","CFD-BM-033-003-N.jpg",1,1,0,0,25
"760",1032519572,5,"fri","41M_NE_C.jpg",1,1,0,0,25
"763",1032519572,5,"fri","CFD-BM-214-075-N.jpg",1,1,0,0,25
"764",1032519572,5,"fri","CFD-BM-039-029-N.jpg",1,1,0,0,25
"765",1032519572,3,"fri","bm04.jpg",1,1,0,0,25
"766",1032519572,5,"fri","bm10.jpg",1,1,0,0,25
"767",1032519572,3,"fri","CFD-BM-229-209-N.jpg",1,1,0,0,25
"776",1032519572,2,"fri","mb044.jpg",1,1,0,0,25
"782",1032519572,2,"fri","061_03.jpg",1,1,0,0,25
"783",1032519572,1,"fri","CFD-BM-045-004-N.jpg",1,1,0,0,25
"788",1032519572,2,"fri","bm12.jpg",1,1,0,0,25
"789",1032519572,3,"fri","CFD-BM-207-024-N.jpg",1,1,0,0,25
"790",1032519572,5,"fri","CFD-BM-204-003-N.jpg",1,1,0,0,25
"841",1036696038,4,"agg","CFD-BM-203-001-N.jpg",1,1,0,0,48
"846",1036696038,7,"agg","mb048.jpg",1,1,0,0,48
"850",1036696038,7,"agg","mb027.jpg",1,1,0,0,48
"851",1036696038,4,"agg","CFD-BM-216-088-N.jpg",1,1,0,0,48
"854",1036696038,2,"agg","mb038.jpg",1,1,0,0,48
"860",1036696038,3,"agg","bm08.jpg",1,1,0,0,48
"866",1036696038,3,"agg","mb008.jpg",1,1,0,0,48
"877",1036696038,5,"agg","CFD-BM-219-141-N.jpg",1,1,0,0,48
"878",1036696038,5,"agg","CFD-BM-029-024-N.jpg",1,1,0,0,48
"882",1036696038,6,"agg","CFD-BM-020-001-N.jpg",1,1,0,0,48
"884",1036696038,6,"agg","CFD-BM-228-145-N.jpg",1,1,0,0,48
"887",1036696038,7,"agg","CFD-BM-230-232-N.jpg",1,1,0,0,48
"888",1036696038,4,"agg","bm01.jpg",1,1,0,0,48
"889",1036696038,4,"agg","CFD-BM-206-114-N.jpg",1,1,0,0,48
"890",1036696038,5,"agg","mb007.jpg",1,1,0,0,48
"894",1036696038,7,"agg","bm07.jpg",1,1,0,0,48
"900",1036696038,4,"agg","CFD-BM-221-198-N.jpg",1,1,0,0,48
"902",1036696038,3,"agg","CFD-BM-036-003-N.jpg",1,1,0,0,48
"904",1036696038,4,"agg","38M_NE_C.jpg",1,1,0,0,48
"912",1036696038,5,"agg","CFD-BM-200-046-N.jpg",1,1,0,0,48
"913",1036696038,5,"agg","42M_NE_C.jpg",1,1,0,0,48
"916",1036696038,2,"agg","bm14.jpg",1,1,0,0,48
"917",1036696038,4,"agg","mb009.jpg",1,1,0,0,48
"918",1036696038,6,"agg","mb002.jpg",1,1,0,0,48
"920",1036696038,5,"agg","bm02.jpg",1,1,0,0,48
"921",1036696038,4,"agg","mb046.jpg",1,1,0,0,48
"922",1036696038,7,"agg","CFD-BM-034-031-N.jpg",1,1,0,0,48
"923",1036696038,5,"agg","CFD-BM-212-117-N.jpg",1,1,0,0,48
"928",1036696038,6,"agg","CFD-BM-225-154-N.jpg",1,1,0,0,48
"929",1036696038,6,"agg","043_03.jpg",1,1,0,0,48
"933",1036696038,6,"agg","mb040.jpg",1,1,0,0,48
"935",1036696038,4,"agg","CFD-BM-012-018-N.jpg",1,1,0,0,48
"938",1036696038,7,"agg","40M_NE_C.jpg",1,1,0,0,48
"1093",1039589930,5,"tru","mb015.jpg",1,1,0,0,42
"1095",1039589930,5,"tru","bm09.jpg",1,1,0,0,42
"1096",1039589930,4,"tru","042_03.jpg",1,1,0,0,42
"1104",1039589930,4,"tru","bm12.jpg",1,1,0,0,42
"1105",1039589930,4,"tru","mb031.jpg",1,1,0,0,42
"1111",1039589930,4,"tru","mb034.jpg",1,1,0,0,42
"1112",1039589930,4,"tru","39M_NE_C.jpg",1,1,0,0,42
"1114",1039589930,4,"tru","mb018.jpg",1,1,0,0,42
"1123",1039589930,3,"tru","bm04.jpg",1,1,0,0,42
"1124",1039589930,5,"tru","082_03.jpg",1,1,0,0,42
"1128",1039589930,3,"tru","41M_NE_C.jpg",1,1,0,0,42
"1136",1039589930,3,"tru","43M_NE_C.jpg",1,1,0,0,42
"1137",1039589930,3,"tru","mb001.jpg",1,1,0,0,42
"1139",1039589930,4,"tru","061_03.jpg",1,1,0,0,42
"1141",1039589930,3,"tru","096_03.jpg",1,1,0,0,42
"1147",1039589930,4,"tru","bm10.jpg",1,1,0,0,42
"1149",1039589930,5,"tru","044_03.jpg",1,1,0,0,42
"1154",1039589930,3,"tru","mb033.jpg",1,1,0,0,42
"1157",1039589930,4,"tru","mb045.jpg",1,1,0,0,42
"1161",1039589930,5,"tru","mb044.jpg",1,1,0,0,42
"1162",1039589930,3,"tru","mb022.jpg",1,1,0,0,42
"1675",1067933477,1,"agg","CFD-BF-040-003-N.jpg",0,1,0,0,49
"1677",1067933477,6,"agg","CFD-BF-029-031-N.jpg",0,1,0,0,49
"1680",1067933477,4,"agg","CFD-BF-019-001-N.jpg",0,1,0,0,49
"1681",1067933477,2,"agg","CFD-BF-018-039-N.jpg",0,1,0,0,49
"1682",1067933477,1,"agg","CFD-BF-028-001-N.jpg",0,1,0,0,49
"1683",1067933477,4,"agg","CFD-BF-035-001-N.jpg",0,1,0,0,49
"1684",1067933477,6,"agg","CFD-BF-012-001-N.jpg",0,1,0,0,49
"1686",1067933477,6,"agg","CFD-BF-039-031-N.jpg",0,1,0,0,49
"1689",1067933477,7,"agg","CFD-BF-246-170-N.jpg",0,1,0,0,49
"1691",1067933477,5,"agg","CFD-BF-005-001-N.jpg",0,1,0,0,49
"1692",1067933477,4,"agg","CFD-BF-016-017-N.jpg",0,1,0,0,49
"1693",1067933477,3,"agg","CFD-BF-003-003-N.jpg",0,1,0,0,49
"1695",1067933477,4,"agg","CFD-BF-041-001-N.jpg",0,1,0,0,49
"1697",1067933477,6,"agg","CFD-BF-004-014-N.jpg",0,1,0,0,49
"1698",1067933477,1,"agg","CFD-BF-036-027-N.jpg",0,1,0,0,49
"1700",1067933477,6,"agg","CFD-BF-015-004-N.jpg",0,1,0,0,49
"1701",1067933477,5,"agg","CFD-BF-248-149-N.jpg",0,1,0,0,49
"1702",1067933477,5,"agg","CFD-BF-002-001-N.jpg",0,1,0,0,49
"1703",1067933477,5,"agg","CFD-BF-024-002-N.jpg",0,1,0,0,49
"1704",1067933477,6,"agg","CFD-BF-044-034-N.jpg",0,1,0,0,49
"1710",1067933477,2,"agg","CFD-BF-251-211-N.jpg",0,1,0,0,49
"1714",1067933477,6,"agg","CFD-BF-001-025-N.jpg",0,1,0,0,49
"1717",1067933477,4,"agg","CFD-BF-021-013-N.jpg",0,1,0,0,49
"1718",1067933477,5,"agg","CFD-BF-033-028-N.jpg",0,1,0,0,49
"1721",1067933477,5,"agg","CFD-BF-009-002-N.jpg",0,1,0,0,49
"1724",1067933477,6,"agg","CFD-BF-037-022-N.jpg",0,1,0,0,49
"1725",1067933477,4,"agg","CFD-BF-006-017-N.jpg",0,1,0,0,49
